,f1,f2,f4,f25,f26,f27
0,37,19,3,0,0,0
1,77,23,1,0,17,0
2,126,50,4,1,19,0
3,18,11,2,0,0,0
4,55,15,2,0,0,0
5,32,24,3,0,0,0
6,19,12,2,0,0,0
7,81,27,2,0,21,0
8,42,34,2,0,0,0
9,104,10,1,1,8,0
10,56,22,3,1,0,0
11,43,16,2,1,8,0
12,83,14,1,1,1,0
13,31,10,2,0,2,0
14,25,16,2,1,0,0
15,51,23,3,0,1,0
16,31,22,2,1,0,0
17,50,21,2,0,3,0
18,34,23,2,0,0,0
19,27,19,2,0,4,4
20,63,14,3,0,0,0
21,66,16,2,1,0,0
22,40,11,2,0,4,0
23,48,16,1,0,0,0
24,126,50,4,0,12,0
25,41,32,2,1,0,0
26,36,27,2,1,0,0
27,72,24,2,0,0,0
28,68,42,4,0,11,0
29,163,14,4,0,65,0
30,26,18,2,0,0,0
31,64,17,2,0,22,0
32,36,28,4,0,9,9
33,61,14,2,0,0,0
34,66,17,2,1,14,0
35,35,26,2,1,0,0
36,113,24,5,0,0,0
37,41,34,2,0,0,0
38,23,12,2,0,0,0
39,31,24,2,0,0,0
40,84,30,2,0,0,0
41,29,17,2,0,0,0
42,98,26,2,0,29,0
43,15,8,1,0,0,0
44,65,22,2,0,0,0
45,131,27,2,1,4,0
46,50,23,2,1,0,0
47,51,32,2,0,0,0
48,45,11,3,1,6,0
49,159,14,2,0,43,0
50,44,22,2,1,10,3
51,103,19,3,1,8,0
52,46,20,4,0,0,0
53,45,16,2,1,0,0
54,51,26,3,0,0,0
55,38,19,3,0,0,0
56,81,27,2,0,23,0
57,112,31,2,0,0,0
58,39,16,2,1,0,0
59,99,15,2,1,8,0
60,45,27,2,1,0,0
61,60,35,5,0,2,2
62,74,19,3,0,6,0
63,61,18,3,0,0,0
64,40,32,4,1,5,5
65,52,24,3,0,2,0
66,88,24,7,1,0,0
67,74,12,2,0,2,0
68,46,16,2,0,3,0
69,54,17,3,0,0,0
70,54,21,1,0,0,0
71,38,16,2,1,0,0
72,67,15,2,0,0,0
73,62,13,5,0,0,0
74,59,17,3,0,4,0
75,57,38,4,1,1,1
76,32,12,1,0,0,0
77,46,25,2,0,0,0
78,37,16,2,1,0,0
79,36,29,2,0,1,1
80,52,18,2,0,2,0
81,32,24,2,0,8,8
82,34,11,1,1,0,0
83,27,19,3,0,0,0
84,92,22,2,0,28,0
85,102,12,2,0,6,0
86,32,23,2,1,0,0
87,29,20,2,1,0,0
88,119,24,4,0,1,0
89,59,21,2,1,4,0
90,54,19,2,0,0,0
91,151,10,3,0,41,0
92,84,25,3,0,3,0
93,55,10,3,0,0,0
94,18,9,1,1,0,0
95,39,16,2,1,0,0
96,28,19,2,1,0,0
97,32,16,3,0,0,0
98,16,9,1,0,0,0
99,23,12,1,0,0,0
100,29,21,3,0,0,0
101,29,20,2,1,0,0
102,41,15,2,1,0,0
103,22,6,1,1,4,0
104,52,14,3,0,2,0
105,38,20,3,0,1,0
106,30,21,3,1,0,0
107,76,50,4,0,8,0
108,430,16,24,0,17,0
109,37,19,2,0,0,0
110,73,23,3,0,5,0
111,56,15,2,0,6,0
112,70,13,1,1,0,0
113,70,20,3,0,0,0
114,52,19,2,0,4,0
115,31,22,2,1,0,0
116,90,19,4,1,22,0
117,45,15,3,0,7,0
118,55,20,3,0,2,1
119,65,12,3,0,5,2
120,41,33,2,0,3,3
121,71,25,2,1,12,0
122,83,16,2,1,6,0
123,73,18,1,0,25,0
124,44,30,2,0,9,3
125,114,33,4,0,6,2
126,127,50,4,1,20,0
127,99,20,4,0,7,0
128,56,20,2,0,0,0
129,51,17,3,1,0,0
130,51,14,5,0,0,0
131,40,24,2,1,0,0
132,33,14,3,0,0,0
133,88,20,2,1,0,0
134,122,18,2,1,6,0
135,53,20,3,0,0,0
136,46,37,6,1,4,4
137,36,29,2,0,0,0
138,31,23,2,0,0,0
139,48,16,2,1,0,0
140,101,6,2,1,0,0
141,41,19,3,0,0,0
142,43,35,4,0,4,4
143,15,8,1,0,0,0
144,42,10,3,0,3,0
145,51,15,1,0,0,0
146,48,27,3,0,0,0
147,49,19,1,0,0,0
148,25,13,1,1,0,0
149,49,15,2,1,1,0
