,f1,f2,f4,f25,f26,f27
2795,66,16,2,1,0,0
7406,36,27,2,1,0,0
6902,22,14,1,0,0,0
1566,26,17,3,1,0,0
928,72,17,3,0,1,0
4567,43,26,2,0,0,0
4305,42,13,2,0,2,0
8903,52,17,2,0,0,0
9126,105,50,3,0,14,0
833,136,13,5,0,25,0
9379,51,14,1,0,12,0
445,109,21,4,1,7,0
2601,167,16,5,0,26,0
7469,54,17,2,1,4,0
4030,66,26,3,0,0,0
10588,36,27,2,1,0,0
4914,132,16,3,1,6,0
7931,29,20,2,1,0,0
7056,28,21,2,0,0,0
4589,57,12,3,0,0,0
6411,99,11,1,0,12,0
4072,67,25,3,1,0,0
11038,124,50,4,0,21,0
7163,77,19,2,1,0,0
1568,113,32,3,0,31,14
7521,28,21,2,0,1,1
6149,27,20,2,0,0,0
191,39,22,3,0,0,0
4501,21,12,2,1,0,0
156,33,14,2,1,2,0
154,36,17,2,0,0,0
1043,29,21,2,0,0,0
397,35,26,2,1,0,0
3486,25,17,3,0,0,0
8731,46,23,2,0,0,0
7542,33,24,2,1,0,0
10035,37,23,2,0,0,0
7944,72,21,1,0,0,0
2260,107,18,2,1,20,0
1951,29,21,2,0,0,0
1772,60,27,3,0,4,0
304,85,17,2,0,0,0
2196,105,15,2,1,4,0
7073,32,25,2,0,0,0
1348,54,18,3,0,0,0
2468,39,19,3,0,0,0
3243,79,13,2,0,0,0
1659,68,42,4,0,9,0
11332,78,16,3,0,1,0
6903,50,24,2,0,0,0
10450,61,10,3,1,0,0
4497,31,17,3,0,0,0
4725,73,19,2,0,4,0
11310,44,26,2,0,0,0
2789,125,50,4,0,23,0
9511,52,16,2,1,0,0
5236,28,19,2,1,0,0
969,31,23,2,0,0,0
6782,125,38,2,1,0,0
753,126,50,4,0,22,0
8449,28,20,1,0,0,0
5309,20,12,2,0,4,4
7598,106,22,3,0,19,0
7919,46,20,3,0,2,0
9172,62,21,3,1,0,0
8,42,34,2,0,0,0
1947,122,13,3,0,8,0
10945,21,13,2,0,0,0
10768,23,16,2,0,0,0
10668,55,22,3,0,0,0
4590,36,25,4,1,0,0
7439,63,14,3,0,5,0
8345,36,25,2,0,8,8
7562,112,14,3,0,0,0
9248,26,17,2,1,0,0
827,31,22,2,1,0,0
3878,44,25,2,1,0,0
60,45,27,2,1,0,0
9593,31,23,2,0,0,0
4397,47,26,2,0,0,0
8440,37,30,2,0,0,0
10919,46,19,3,0,0,0
6671,33,25,2,0,0,0
11030,65,11,3,1,3,0
5547,48,31,4,0,3,3
8527,20,11,2,1,0,0
9657,26,17,2,1,0,0
5393,43,15,2,1,1,0
10932,47,10,1,0,2,2
11028,64,14,2,1,0,0
2445,165,18,4,0,39,2
159,342,19,5,1,142,0
6994,35,11,1,1,0,0
9080,39,24,3,0,0,0
8008,51,21,2,0,5,0
1232,47,39,2,1,0,0
2169,54,16,3,0,0,0
1886,42,34,2,0,4,4
1723,91,15,4,0,12,12
341,70,17,3,0,6,0
11153,42,17,2,1,0,0
2255,34,26,2,0,0,0
7535,36,20,2,0,0,0
10635,29,10,1,0,2,0
991,33,16,2,0,0,0
5174,63,55,2,0,0,0
5473,38,29,2,1,4,4
3842,40,16,2,0,0,0
6837,32,25,2,0,5,5
3501,99,15,2,1,11,0
8985,35,24,1,0,0,0
8689,27,20,2,0,0,0
6070,41,21,5,0,0,0
105,38,20,3,0,1,0
6440,68,16,2,1,0,0
7302,39,19,2,0,0,0
10025,62,27,3,1,0,0
7170,42,21,3,1,0,0
3676,80,17,2,0,2,0
8237,55,16,2,1,0,0
5355,22,13,2,1,0,0
3757,46,16,2,1,0,0
4537,116,15,1,1,6,0
6818,29,20,2,1,0,0
8618,43,19,3,0,0,0
10017,122,28,2,1,10,0
2936,83,14,4,1,4,0
3158,80,18,3,0,0,0
1106,59,17,3,0,0,0
4703,51,21,3,0,0,0
3213,29,19,1,0,10,10
7283,50,24,3,0,0,0
10749,56,24,3,0,0,0
10249,23,14,2,1,0,0
9386,30,14,3,0,0,0
10683,84,16,2,1,6,0
7295,61,20,3,0,0,0
6213,32,24,2,0,0,0
9772,38,31,2,0,0,0
2250,49,13,3,0,1,0
6761,32,23,2,1,0,0
7046,49,13,2,1,0,0
431,33,25,2,1,0,0
3780,44,22,3,1,0,0
1784,43,12,1,0,0,0
10006,53,21,3,1,0,0
7867,72,23,2,1,0,0
11233,229,17,14,0,49,0
9568,43,36,2,0,0,0
9230,36,14,2,1,0,0
10502,28,21,2,0,0,0
256,70,33,3,0,0,0
4224,38,16,2,0,2,0
8554,70,22,2,0,0,0
6369,35,20,2,1,0,0
8094,39,18,2,1,0,0
693,187,20,6,0,38,0
6724,66,38,5,1,0,0
3172,100,28,2,0,0,0
10312,50,15,3,0,6,0
1671,39,25,2,0,0,0
8488,158,14,4,0,13,0
3570,67,18,3,0,3,0
3110,158,15,4,1,60,0
7070,22,13,2,1,0,0
10786,52,24,3,0,0,0
3909,52,25,3,0,6,6
10037,54,26,2,0,7,5
6699,48,9,3,0,0,0
6708,66,35,4,0,14,14
6951,54,18,2,0,0,0
8640,79,19,4,1,0,0
11218,35,27,2,0,0,0
9821,26,17,2,1,0,0
2122,64,43,5,1,16,16
2396,53,21,2,0,3,0
3607,60,12,3,0,0,0
2399,44,17,3,0,6,0
7092,21,12,1,1,0,0
5629,80,16,3,1,1,0
957,17,10,1,0,1,1
964,30,10,2,0,0,0
6680,73,41,7,1,3,3
4735,107,20,2,0,18,0
9127,31,20,1,0,0,0
11034,56,15,2,0,0,0
646,44,14,3,0,7,0
4578,44,18,2,1,0,0
7106,42,24,1,0,0,0
1840,35,19,2,0,0,0
4525,35,22,2,1,0,0
6209,21,12,2,1,0,0
1692,126,50,4,0,19,0
517,49,15,2,0,0,0
4309,18,5,1,0,2,0
1489,52,16,2,0,10,0
5245,59,25,5,1,3,3
11072,59,11,2,1,2,0
9489,56,37,4,0,5,2
9893,56,16,3,0,0,0
7275,263,25,3,0,33,0
11326,25,16,2,1,0,0
7549,69,22,2,1,8,2
161,73,22,2,0,0,0
9176,43,16,2,0,7,0
6400,19,12,1,0,0,0
6687,45,21,2,0,0,0
3118,61,16,2,1,0,0
504,19,10,2,1,0,0
1392,78,23,2,1,5,0
5194,125,50,4,1,15,0
4379,94,7,2,0,2,0
405,82,36,5,1,9,6
8166,33,25,1,0,0,0
668,192,11,15,1,106,0
6735,83,13,3,0,0,0
7668,88,43,2,0,0,0
10072,30,21,2,1,0,0
5487,61,14,1,0,4,0
3562,37,25,2,1,8,8
6487,32,25,2,0,0,0
2697,128,50,4,1,23,0
4310,84,16,2,1,6,0
1053,40,23,3,0,3,3
9862,42,19,2,1,1,1
4349,22,13,2,1,0,0
10811,40,27,2,0,0,0
11096,58,18,2,0,0,0
6171,94,21,2,1,0,0
9509,25,16,2,1,0,0
5773,28,19,2,1,0,0
9419,53,22,2,0,0,0
4793,33,24,2,1,0,0
2540,70,21,2,1,0,0
4585,54,22,3,0,0,0
5922,113,15,2,1,10,0
6554,47,13,1,0,0,0
6715,55,19,2,0,10,0
124,44,30,2,0,9,3
8627,65,18,2,1,0,0
5396,32,23,2,1,0,0
6692,30,21,1,1,0,0
7833,128,50,4,1,18,0
11125,55,9,5,0,0,0
349,28,19,1,1,0,0
3771,28,21,2,0,1,1
7782,52,15,1,0,0,0
9355,34,25,2,1,0,0
11379,35,27,2,1,4,4
2209,44,21,4,0,1,0
4485,26,17,2,1,0,0
5544,51,27,3,0,0,0
