,status
2795,0
7406,0
6902,1
1566,0
928,0
4567,1
4305,1
8903,1
9126,1
833,1
9379,1
445,1
2601,1
7469,1
4030,0
10588,1
4914,1
7931,0
7056,0
4589,0
6411,1
4072,1
11038,1
7163,0
1568,1
7521,1
6149,0
191,1
4501,0
156,1
154,0
1043,1
397,1
3486,0
8731,0
7542,0
10035,0
7944,1
2260,0
1951,1
1772,0
304,1
2196,1
7073,0
1348,0
2468,0
3243,1
1659,1
11332,0
6903,0
10450,1
4497,1
4725,1
11310,0
2789,1
9511,0
5236,0
969,0
6782,1
753,1
8449,1
5309,1
7598,1
7919,1
9172,0
8,0
1947,0
10945,0
10768,0
10668,1
4590,1
7439,0
8345,1
7562,1
9248,0
827,0
3878,0
60,0
9593,0
4397,1
8440,0
10919,1
6671,0
11030,1
5547,1
8527,0
9657,0
5393,0
10932,1
11028,0
2445,1
159,1
6994,0
9080,1
8008,0
1232,1
2169,0
1886,1
1723,1
341,0
11153,0
2255,0
7535,0
10635,1
991,1
5174,1
5473,1
3842,1
6837,1
3501,1
8985,1
8689,1
6070,1
105,1
6440,0
7302,0
10025,1
7170,1
3676,0
8237,0
5355,0
3757,1
4537,0
6818,0
8618,0
10017,1
2936,0
3158,1
1106,0
4703,0
3213,1
7283,0
10749,0
10249,0
9386,1
10683,1
7295,0
6213,0
9772,1
2250,0
6761,1
7046,0
431,0
3780,1
1784,1
10006,0
7867,0
11233,1
9568,1
9230,0
10502,0
256,0
4224,1
8554,0
6369,0
8094,0
693,1
6724,1
3172,0
10312,0
1671,0
8488,1
3570,0
3110,1
7070,0
10786,0
3909,1
10037,1
6699,1
6708,1
6951,0
8640,1
11218,0
9821,0
2122,1
2396,1
3607,1
2399,0
7092,1
5629,0
957,0
964,1
6680,1
4735,1
9127,1
11034,1
646,0
4578,0
7106,0
1840,0
4525,0
6209,0
1692,1
517,0
4309,1
1489,1
5245,1
11072,1
9489,1
9893,1
7275,1
11326,0
7549,1
161,0
9176,0
6400,1
6687,1
3118,0
504,0
1392,0
5194,1
4379,1
405,1
8166,1
668,1
6735,1
7668,1
10072,0
5487,0
3562,1
6487,1
2697,1
4310,1
1053,1
9862,0
4349,0
10811,0
11096,0
6171,0
9509,0
5773,0
9419,0
4793,0
2540,1
4585,1
5922,1
6554,1
6715,1
124,1
8627,0
5396,0
6692,1
7833,1
11125,1
349,0
3771,1
7782,0
9355,1
11379,1
2209,0
4485,0
5544,0
6351,1
493,0
569,0
1485,1
8496,1
1048,0
244,1
8433,1
2590,0
10052,0
1399,0
5716,1
485,0
9467,1
4108,1
4471,1
2038,0
6396,1
5691,0
5653,0
1242,1
4049,1
4494,0
2434,0
717,1
3827,1
6006,0
10593,1
14,0
7400,1
2352,0
6932,0
10783,1
6727,0
5436,0
6972,1
4371,0
1690,0
7270,0
4834,0
4230,0
473,0
1364,1
4859,0
1767,0
5873,0
4628,1
8820,1
8394,1
9262,1
3665,1
7196,1
4846,1
5684,0
388,1
8643,0
2491,0
458,0
9332,0
6009,0
11400,0
9263,1
2420,0
8302,0
9208,1
7035,0
1420,1
7222,1
1245,1
828,1
2504,1
9680,0
6015,0
3924,0
863,1
9,0
6048,1
4105,0
8863,0
5366,0
7039,0
9200,1
2507,1
9319,1
4947,1
681,1
5408,1
4922,1
5748,0
10733,0
422,0
5262,0
5593,1
5784,0
8448,1
3832,1
1125,1
3915,0
5980,0
2367,1
5153,0
5712,0
1963,0
10678,0
439,1
6216,1
9313,0
2317,0
11199,0
6960,1
8907,1
2642,1
10270,1
2680,1
5363,1
4036,1
3439,0
3393,0
3973,0
11117,1
8684,1
10227,0
6772,1
679,0
4960,1
7187,0
3449,1
5688,0
11259,1
7359,0
3682,0
11120,1
7532,1
1187,1
1135,0
786,0
856,0
7459,1
1229,0
9396,0
3696,0
2064,1
8861,0
6529,1
9213,1
7769,1
11010,0
9866,1
9942,0
9384,0
9250,1
8249,0
8781,0
4385,1
10073,1
2634,0
4203,0
1979,0
1735,1
2327,1
9644,0
6417,0
106,0
11165,0
3767,0
6352,0
2331,1
7002,1
1016,1
1545,1
3235,1
10488,1
2328,1
10532,0
1989,1
10788,0
6033,0
9587,0
363,1
1584,1
4654,1
6821,0
6103,1
9991,0
5466,1
10078,1
3234,0
8629,0
6004,0
3568,0
7711,0
2437,0
5505,0
1440,1
8012,0
4147,1
8105,0
4130,0
8176,0
2178,0
3034,0
4921,0
7093,1
479,0
4095,0
10113,1
9501,1
5528,1
1320,1
4043,1
10626,0
10457,0
4055,1
641,0
3901,0
10379,1
7261,1
4865,0
9539,1
607,1
7499,1
8439,1
9270,1
9652,0
4199,0
8442,1
6952,0
4160,0
9829,0
6361,0
5971,1
3493,1
